Planet's parameters | R_planet [Rj] :   1.0000   |  M_planet [Mj] :   1.0000   | a initial [au] :  1.500   | e initial [ø] :0.00   | omega_planet [rad/s] : 7.00E-05   | Q_p : 1.00E+05   | alpha_p : 0.26   | k2dt_planet : 1.00E-02
Environment parameters | Stellar model :   Stellar_models/m1.5_FeH0_4.14_schroeder_final.hr   | T_wind [K] :  2500.   | wind_speed [m/s] :  5000.   | mu : 1.38   | omega_star : 1.00E-07
Programmatical parameters | Sekhmet version : 5.1   | time0 [yr] : 2.560E+09   | max_duration [yr] : 1.000E+08   | max. rel. variat. a and e : 1.00E-02   | formalism : 3
time                 M_star      R_eff_star      L_star      dot_M_star       M_env        R_env            a           dot_a          e         omega_planet   omega_star
[yr]                 [M_Sun]      [R_Sun]        [L_Sun]     [M_Sun/yr]      [M_Sun]       [R_Sun]        [au]         [au/yr]        [ø]          [rad/s]        [rad/s]
2.5600000000E+09   1.48781E+00   8.36453E+00   3.04137E+01  -2.40226E-11   1.22290E+00   6.46088E-01   1.50000E+00   2.74408E-11   0.00000E+00   7.00000E-05   9.99998E-08
2.5603700682E+09   1.48780E+00   8.39245E+00   3.05833E+01  -2.44082E-11   1.22289E+00   6.45644E-01   1.50001E+00   2.78814E-11   0.00000E+00   7.00000E-05   9.93658E-08
2.5607336759E+09   1.48779E+00   8.42013E+00   3.07497E+01  -2.44082E-11   1.22288E+00   6.45209E-01   1.50002E+00   2.78817E-11   0.00000E+00   7.00000E-05   9.87506E-08
2.5610972836E+09   1.48779E+00   8.44987E+00   3.09152E+01  -2.47845E-11   1.22287E+00   6.44856E-01   1.50003E+00   2.83119E-11   0.00000E+00   7.00000E-05   9.80817E-08
2.5614545628E+09   1.48778E+00   8.47961E+00   3.10777E+01  -2.47845E-11   1.22286E+00   6.44531E-01   1.50004E+00   2.83123E-11   0.00000E+00   7.00000E-05   9.74332E-08
2.5618118420E+09   1.48777E+00   8.50825E+00   3.12514E+01  -2.51713E-11   1.22285E+00   6.44068E-01   1.50005E+00   2.87544E-11   0.00000E+00   7.00000E-05   9.68190E-08
2.5621628367E+09   1.48776E+00   8.53615E+00   3.14245E+01  -2.51713E-11   1.22284E+00   6.43583E-01   1.50006E+00   2.87547E-11   0.00000E+00   7.00000E-05   9.62230E-08
2.5625138315E+09   1.48775E+00   8.56401E+00   3.15978E+01  -2.55664E-11   1.22283E+00   6.43009E-01   1.50007E+00   2.92063E-11   0.00000E+00   7.00000E-05   9.56326E-08
2.5628588159E+09   1.48774E+00   8.59138E+00   3.17681E+01  -2.55664E-11   1.22283E+00   6.42427E-01   1.50008E+00   2.92067E-11   0.00000E+00   7.00000E-05   9.50593E-08
2.5632038003E+09   1.48773E+00   8.61876E+00   3.19424E+01  -2.59640E-11   1.22267E+00   6.44646E-01   1.50009E+00   2.96612E-11   0.00000E+00   7.00000E-05   9.44898E-08
2.5635429238E+09   1.48772E+00   8.64566E+00   3.21144E+01  -2.59640E-11   1.22248E+00   6.47339E-01   1.50010E+00   2.96615E-11   0.00000E+00   7.00000E-05   9.39366E-08
2.5638820473E+09   1.48771E+00   8.67262E+00   3.22895E+01  -2.63774E-11   1.22245E+00   6.47132E-01   1.50011E+00   3.01341E-11   0.00000E+00   7.00000E-05   9.33861E-08
2.5642154770E+09   1.48771E+00   8.69913E+00   3.24621E+01  -2.63774E-11   1.22244E+00   6.46456E-01   1.50012E+00   3.01345E-11   0.00000E+00   7.00000E-05   9.28510E-08
2.5645489068E+09   1.48770E+00   8.72661E+00   3.26358E+01  -2.67778E-11   1.22243E+00   6.45774E-01   1.50013E+00   3.05923E-11   0.00000E+00   7.00000E-05   9.22969E-08
2.5648767898E+09   1.48769E+00   8.75377E+00   3.28069E+01  -2.67778E-11   1.22242E+00   6.45103E-01   1.50014E+00   3.05926E-11   0.00000E+00   7.00000E-05   9.17584E-08
2.5652046728E+09   1.48768E+00   8.78181E+00   3.29807E+01  -2.71978E-11   1.22241E+00   6.44431E-01   1.50015E+00   3.10727E-11   0.00000E+00   7.00000E-05   9.12037E-08
2.5655271257E+09   1.48767E+00   8.80949E+00   3.31519E+01  -2.71978E-11   1.22240E+00   6.43771E-01   1.50016E+00   3.10731E-11   0.00000E+00   7.00000E-05   9.06647E-08
2.5658495787E+09   1.48766E+00   8.83793E+00   3.33257E+01  -2.75921E-11   1.22240E+00   6.43079E-01   1.50017E+00   3.15239E-11   0.00000E+00   7.00000E-05   9.01129E-08
2.5661666989E+09   1.48765E+00   8.86598E+00   3.34969E+01  -2.75921E-11   1.22239E+00   6.42395E-01   1.50018E+00   3.15242E-11   0.00000E+00   7.00000E-05   8.95768E-08
2.5664838192E+09   1.48764E+00   8.89438E+00   3.36716E+01  -2.79892E-11   1.22238E+00   6.41660E-01   1.50019E+00   3.19783E-11   0.00000E+00   7.00000E-05   8.90368E-08
2.5667957251E+09   1.48764E+00   8.92235E+00   3.38437E+01  -2.79892E-11   1.22237E+00   6.40932E-01   1.50020E+00   3.19787E-11   0.00000E+00   7.00000E-05   8.85119E-08
2.5671076311E+09   1.48763E+00   8.95024E+00   3.40184E+01  -2.84208E-11   1.22236E+00   6.40111E-01   1.50021E+00   3.24721E-11   0.00000E+00   7.00000E-05   8.79924E-08
2.5674144488E+09   1.48762E+00   8.97767E+00   3.41903E+01  -2.84208E-11   1.22235E+00   6.39298E-01   1.50022E+00   3.24725E-11   0.00000E+00   7.00000E-05   8.74872E-08
2.5677212665E+09   1.48761E+00   9.00570E+00   3.43663E+01  -2.88406E-11   1.22219E+00   6.41609E-01   1.50023E+00   3.29525E-11   0.00000E+00   7.00000E-05   8.69735E-08
2.5680563840E+09   1.48760E+00   9.03636E+00   3.45588E+01  -2.88406E-11   1.22201E+00   6.44319E-01   1.50024E+00   3.29529E-11   0.00000E+00   7.00000E-05   8.64195E-08
2.5683915015E+09   1.48759E+00   9.06745E+00   3.47540E+01  -2.93171E-11   1.22197E+00   6.43848E-01   1.50026E+00   3.34977E-11   0.00000E+00   7.00000E-05   8.58606E-08
2.5687206611E+09   1.48758E+00   9.09805E+00   3.49461E+01  -2.93171E-11   1.22196E+00   6.42910E-01   1.50027E+00   3.34981E-11   0.00000E+00   7.00000E-05   8.53186E-08
2.5690498208E+09   1.48757E+00   9.12897E+00   3.51420E+01  -2.97808E-11   1.22195E+00   6.41894E-01   1.50028E+00   3.40283E-11   0.00000E+00   7.00000E-05   8.47741E-08
2.5693731836E+09   1.48756E+00   9.15938E+00   3.53350E+01  -2.97808E-11   1.22194E+00   6.40885E-01   1.50029E+00   3.40288E-11   0.00000E+00   7.00000E-05   8.42459E-08
2.5696965465E+09   1.48755E+00   9.19030E+00   3.55318E+01  -3.02474E-11   1.22193E+00   6.39822E-01   1.50030E+00   3.45623E-11   0.00000E+00   7.00000E-05   8.37117E-08
2.5700142600E+09   1.48754E+00   9.22074E+00   3.57256E+01  -3.02474E-11   1.22192E+00   6.38771E-01   1.50031E+00   3.45627E-11   0.00000E+00   7.00000E-05   8.31933E-08
2.5703319735E+09   1.48753E+00   9.25205E+00   3.59225E+01  -3.07168E-11   1.22191E+00   6.37684E-01   1.50032E+00   3.50995E-11   0.00000E+00   7.00000E-05   8.26621E-08
2.5706441806E+09   1.48752E+00   9.28290E+00   3.61162E+01  -3.07168E-11   1.22190E+00   6.36613E-01   1.50033E+00   3.50999E-11   0.00000E+00   7.00000E-05   8.21467E-08
2.5709563877E+09   1.48751E+00   9.31410E+00   3.63135E+01  -3.12073E-11   1.22173E+00   6.39145E-01   1.50034E+00   3.56609E-11   0.00000E+00   7.00000E-05   8.16290E-08
2.5712632065E+09   1.48750E+00   9.34478E+00   3.65077E+01  -3.12073E-11   1.22154E+00   6.41893E-01   1.50035E+00   3.56613E-11   0.00000E+00   7.00000E-05   8.11265E-08
2.5715700253E+09   1.48749E+00   9.37602E+00   3.67061E+01  -3.16681E-11   1.22152E+00   6.40951E-01   1.50037E+00   3.61883E-11   0.00000E+00   7.00000E-05   8.06177E-08
2.5718715906E+09   1.48748E+00   9.40676E+00   3.69012E+01  -3.16681E-11   1.22152E+00   6.39826E-01   1.50038E+00   3.61887E-11   0.00000E+00   7.00000E-05   8.01237E-08
2.5721731560E+09   1.48747E+00   9.43754E+00   3.71020E+01  -3.21645E-11   1.22151E+00   6.38606E-01   1.50039E+00   3.67564E-11   0.00000E+00   7.00000E-05   7.96325E-08
2.5724696009E+09   1.48746E+00   9.46780E+00   3.72996E+01  -3.21645E-11   1.22150E+00   6.37403E-01   1.50040E+00   3.67568E-11   0.00000E+00   7.00000E-05   7.91555E-08
2.5727660459E+09   1.48745E+00   9.49803E+00   3.74989E+01  -3.26634E-11   1.22149E+00   6.36087E-01   1.50041E+00   3.73274E-11   0.00000E+00   7.00000E-05   7.86825E-08
2.5730575040E+09   1.48744E+00   9.52775E+00   3.76949E+01  -3.26634E-11   1.22148E+00   6.34791E-01   1.50042E+00   3.73278E-11   0.00000E+00   7.00000E-05   7.82229E-08
2.5733489621E+09   1.48743E+00   9.55831E+00   3.78948E+01  -3.31431E-11   1.22129E+00   6.37584E-01   1.50043E+00   3.78765E-11   0.00000E+00   7.00000E-05   7.77532E-08
2.5736355982E+09   1.48743E+00   9.58838E+00   3.80914E+01  -3.36456E-11   1.22111E+00   6.40277E-01   1.50044E+00   3.84513E-11   0.00000E+00   7.00000E-05   7.72849E-08
2.5739175070E+09   1.48742E+00   9.61855E+00   3.82883E+01  -3.36456E-11   1.22110E+00   6.38968E-01   1.50045E+00   3.84517E-11   0.00000E+00   7.00000E-05   7.68298E-08
2.5741994159E+09   1.48741E+00   9.64872E+00   3.84853E+01  -3.41536E-11   1.22109E+00   6.37658E-01   1.50046E+00   3.90327E-11   0.00000E+00   7.00000E-05   7.63638E-08
2.5744766925E+09   1.48740E+00   9.67928E+00   3.86815E+01  -3.41536E-11   1.22108E+00   6.36328E-01   1.50048E+00   3.90332E-11   0.00000E+00   7.00000E-05   7.59109E-08
2.5747539692E+09   1.48739E+00   9.70984E+00   3.88779E+01  -3.46463E-11   1.22107E+00   6.35063E-01   1.50049E+00   3.95967E-11   0.00000E+00   7.00000E-05   7.54571E-08
2.5750267257E+09   1.48738E+00   9.74016E+00   3.90753E+01  -3.46463E-11   1.22088E+00   6.37886E-01   1.50050E+00   3.95971E-11   0.00000E+00   7.00000E-05   7.50159E-08
2.5752994823E+09   1.48737E+00   9.77049E+00   3.92727E+01  -3.51584E-11   1.22070E+00   6.40643E-01   1.50051E+00   4.01829E-11   0.00000E+00   7.00000E-05   7.45702E-08
2.5755944334E+09   1.48736E+00   9.80382E+00   3.94899E+01  -3.51584E-11   1.22069E+00   6.39106E-01   1.50052E+00   4.01833E-11   0.00000E+00   7.00000E-05   7.40944E-08
2.5758893846E+09   1.48735E+00   9.83715E+00   3.97071E+01  -3.57200E-11   1.22068E+00   6.37567E-01   1.50053E+00   4.08258E-11   0.00000E+00   7.00000E-05   7.36229E-08
2.5761791380E+09   1.48734E+00   9.86985E+00   3.99265E+01  -3.57200E-11   1.22067E+00   6.35934E-01   1.50054E+00   4.08263E-11   0.00000E+00   7.00000E-05   7.31654E-08
2.5764688915E+09   1.48733E+00   9.90256E+00   4.01458E+01  -3.62991E-11   1.22065E+00   6.34366E-01   1.50056E+00   4.14887E-11   0.00000E+00   7.00000E-05   7.26964E-08
2.5767536092E+09   1.48732E+00   9.93571E+00   4.03636E+01  -3.62991E-11   1.22047E+00   6.37080E-01   1.50057E+00   4.14892E-11   0.00000E+00   7.00000E-05   7.22414E-08
2.5770383270E+09   1.48731E+00   9.96886E+00   4.05815E+01  -3.68490E-11   1.22029E+00   6.39727E-01   1.50058E+00   4.21183E-11   0.00000E+00   7.00000E-05   7.17849E-08
2.5773181173E+09   1.48730E+00   1.00018E+01   4.08002E+01  -3.68490E-11   1.22028E+00   6.38043E-01   1.50059E+00   4.21188E-11   0.00000E+00   7.00000E-05   7.13418E-08
2.5775979077E+09   1.48729E+00   1.00347E+01   4.10191E+01  -3.74363E-11   1.22027E+00   6.36359E-01   1.50060E+00   4.27906E-11   0.00000E+00   7.00000E-05   7.08908E-08
2.5778729084E+09   1.48728E+00   1.00679E+01   4.12378E+01  -3.74363E-11   1.22026E+00   6.34633E-01   1.50062E+00   4.27911E-11   0.00000E+00   7.00000E-05   7.04531E-08
2.5781479092E+09   1.48727E+00   1.01010E+01   4.14566E+01  -3.79916E-11   1.22024E+00   6.32978E-01   1.50063E+00   4.34265E-11   0.00000E+00   7.00000E-05   7.00170E-08
2.5784182318E+09   1.48726E+00   1.01337E+01   4.16759E+01  -3.79916E-11   1.22006E+00   6.35698E-01   1.50064E+00   4.34270E-11   0.00000E+00   7.00000E-05   6.95936E-08
2.5786885544E+09   1.48724E+00   1.01664E+01   4.18952E+01  -3.85658E-11   1.21987E+00   6.38346E-01   1.50065E+00   4.40839E-11   0.00000E+00   7.00000E-05   6.91629E-08
2.5789543342E+09   1.48723E+00   1.01993E+01   4.21149E+01  -3.85658E-11   1.21986E+00   6.36549E-01   1.50066E+00   4.40844E-11   0.00000E+00   7.00000E-05   6.87446E-08
2.5792201140E+09   1.48722E+00   1.02322E+01   4.23346E+01  -3.91440E-11   1.21985E+00   6.34826E-01   1.50067E+00   4.47460E-11   0.00000E+00   7.00000E-05   6.83286E-08
2.5794814567E+09   1.48721E+00   1.02646E+01   4.25548E+01  -3.91440E-11   1.21966E+00   6.37577E-01   1.50069E+00   4.47465E-11   0.00000E+00   7.00000E-05   6.79244E-08
2.5797427993E+09   1.48720E+00   1.02970E+01   4.27751E+01  -3.97191E-11   1.21948E+00   6.40252E-01   1.50070E+00   4.54045E-11   0.00000E+00   7.00000E-05   6.75157E-08
2.5799998543E+09   1.48719E+00   1.03294E+01   4.29946E+01  -3.97191E-11   1.21947E+00   6.38395E-01   1.50071E+00   4.54051E-11   0.00000E+00   7.00000E-05   6.71185E-08
2.5802569093E+09   1.48718E+00   1.03618E+01   4.32143E+01  -4.03245E-11   1.21946E+00   6.36536E-01   1.50072E+00   4.60977E-11   0.00000E+00   7.00000E-05   6.67108E-08
2.5805097332E+09   1.48717E+00   1.03948E+01   4.34384E+01  -4.03245E-11   1.21945E+00   6.34644E-01   1.50073E+00   4.60983E-11   0.00000E+00   7.00000E-05   6.63145E-08
2.5807625571E+09   1.48716E+00   1.04277E+01   4.36626E+01  -4.09216E-11   1.21944E+00   6.32833E-01   1.50075E+00   4.67814E-11   0.00000E+00   7.00000E-05   6.59073E-08
2.5810112033E+09   1.48715E+00   1.04612E+01   4.38866E+01  -4.09216E-11   1.21925E+00   6.35709E-01   1.50076E+00   4.67820E-11   0.00000E+00   7.00000E-05   6.55117E-08
2.5812598495E+09   1.48714E+00   1.04947E+01   4.41105E+01  -4.15308E-11   1.21907E+00   6.38500E-01   1.50077E+00   4.74790E-11   0.00000E+00   7.00000E-05   6.51289E-08
2.5815265192E+09   1.48713E+00   1.05297E+01   4.43482E+01  -4.15308E-11   1.21906E+00   6.36286E-01   1.50078E+00   4.74796E-11   0.00000E+00   7.00000E-05   6.47234E-08
2.5817931889E+09   1.48712E+00   1.05647E+01   4.45860E+01  -4.21674E-11   1.21904E+00   6.34152E-01   1.50079E+00   4.82081E-11   0.00000E+00   7.00000E-05   6.43087E-08
2.5820552395E+09   1.48711E+00   1.06002E+01   4.48280E+01  -4.21674E-11   1.21886E+00   6.36827E-01   1.50081E+00   4.82087E-11   0.00000E+00   7.00000E-05   6.39064E-08
2.5823172901E+09   1.48710E+00   1.06356E+01   4.50701E+01  -4.28317E-11   1.21867E+00   6.39422E-01   1.50082E+00   4.89689E-11   0.00000E+00   7.00000E-05   6.34992E-08
2.5825748095E+09   1.48709E+00   1.06710E+01   4.53119E+01  -4.28317E-11   1.21866E+00   6.37184E-01   1.50083E+00   4.89695E-11   0.00000E+00   7.00000E-05   6.31041E-08
2.5828323288E+09   1.48708E+00   1.07065E+01   4.55539E+01  -4.34984E-11   1.21865E+00   6.35057E-01   1.50084E+00   4.97324E-11   0.00000E+00   7.00000E-05   6.27137E-08
2.5830854415E+09   1.48707E+00   1.07412E+01   4.57966E+01  -4.34984E-11   1.21840E+00   6.39413E-01   1.50086E+00   4.97330E-11   0.00000E+00   7.00000E-05   6.23346E-08
2.5833385541E+09   1.48705E+00   1.07759E+01   4.60394E+01  -4.41430E-11   1.21816E+00   6.43656E-01   1.50087E+00   5.04707E-11   0.00000E+00   7.00000E-05   6.19509E-08
2.5835874043E+09   1.48704E+00   1.08107E+01   4.62807E+01  -4.41430E-11   1.21815E+00   6.41352E-01   1.50088E+00   5.04714E-11   0.00000E+00   7.00000E-05   6.15782E-08
2.5838362546E+09   1.48703E+00   1.08454E+01   4.65222E+01  -4.48339E-11   1.21814E+00   6.39047E-01   1.50090E+00   5.12620E-11   0.00000E+00   7.00000E-05   6.12002E-08
2.5840809353E+09   1.48702E+00   1.08803E+01   4.67649E+01  -4.48339E-11   1.21813E+00   6.36675E-01   1.50091E+00   5.12627E-11   0.00000E+00   7.00000E-05   6.08331E-08
2.5843256161E+09   1.48701E+00   1.09152E+01   4.70077E+01  -4.54856E-11   1.21811E+00   6.34425E-01   1.50092E+00   5.20085E-11   0.00000E+00   7.00000E-05   6.04648E-08
2.5845662414E+09   1.48700E+00   1.09498E+01   4.72501E+01  -4.54856E-11   1.21787E+00   6.38912E-01   1.50093E+00   5.20092E-11   0.00000E+00   7.00000E-05   6.01070E-08
2.5848068668E+09   1.48699E+00   1.09845E+01   4.74925E+01  -4.61400E-11   1.21763E+00   6.43277E-01   1.50095E+00   5.27582E-11   0.00000E+00   7.00000E-05   5.97430E-08
2.5850435376E+09   1.48698E+00   1.10194E+01   4.77352E+01  -4.61400E-11   1.21762E+00   6.40867E-01   1.50096E+00   5.27588E-11   0.00000E+00   7.00000E-05   5.93893E-08
2.5852802084E+09   1.48697E+00   1.10542E+01   4.79780E+01  -4.68384E-11   1.21761E+00   6.38456E-01   1.50097E+00   5.35581E-11   0.00000E+00   7.00000E-05   5.90360E-08
